outfit_id,product_name,brand,outfit_type,color,season,occasion,body_type,skin_tone,style_tag,price_inr,rating,num_reviews
1,Coral Embroidered A-Line Kurta,Van Heusen Woman,kurta,Coral,spring,casual,pear,warm,ethnic_casual,1000,4.5,4517
2,Rust Solid Regular Kurta,Biba,kurta,Rust,all,casual,pear,warm,ethnic_casual,500,3.6,1955
3,Olive Printed Straight Kurta,HRX,kurta,Olive,all,casual,pear,warm,ethnic_casual,1200,4.5,4514
4,Emerald Block Print Kurta,Allen Solly Woman,kurta,Emerald,autumn,casual,pear,cool,ethnic_casual,400,4.6,1357
5,Turquoise Floral Print Kurta,Allen Solly Woman,kurta,Turquoise,autumn,casual,pear,cool,ethnic_casual,1000,3.8,2807
6,Cobalt Solid Regular Kurta,Anita Dongre,kurta,Cobalt,summer,casual,pear,cool,ethnic_casual,1900,4.7,4995
7,Slate Grey Mirror Work Kurta,Vero Moda,kurta,Slate Grey,summer,casual,pear,cool,ethnic_casual,900,4.9,3150
8,Cobalt Floral Print Kurta,Aurelia,kurta,Cobalt,all,casual,pear,cool,ethnic_casual,1900,4.3,619
9,Royal Blue Floral Print Kurta,W,kurta,Royal Blue,summer,casual,pear,cool,ethnic_casual,1400,4.7,3163
10,Nude Embroidered A-Line Kurta,H&M,kurta,Nude,spring,casual,pear,neutral,ethnic_casual,1900,3.8,2237
11,Pearl Block Print Kurta,Aurelia,kurta,Pearl,summer,casual,pear,neutral,ethnic_casual,1100,4.2,2055
12,Ivory Solid Regular Kurta,Allen Solly Woman,kurta,Ivory,autumn,casual,pear,neutral,ethnic_casual,1300,4.5,508
13,Cream Floral Print Kurta,Mango,kurta,Cream,summer,casual,pear,neutral,ethnic_casual,1500,3.6,4696
14,Pearl Embroidered A-Line Kurta,Aurelia,kurta,Pearl,spring,casual,pear,neutral,ethnic_casual,2400,4.1,3808
15,Burnt Orange Embroidered A-Line Kurta,Ethnic Motif,kurta,Burnt Orange,summer,casual,apple,warm,ethnic_casual,1500,4.5,3559
16,Gold Floral Print Kurta,Van Heusen Woman,kurta,Gold,autumn,casual,apple,warm,ethnic_casual,1000,4.2,794
17,Brick Red Printed Straight Kurta,FabIndia,kurta,Brick Red,summer,casual,apple,warm,ethnic_casual,1100,4.6,3508
18,Gold Solid Regular Kurta,Mango,kurta,Gold,summer,casual,apple,warm,ethnic_casual,2300,4.2,4582
19,Lilac Mirror Work Kurta,HRX,kurta,Lilac,summer,casual,apple,cool,ethnic_casual,1500,4.6,2836
20,Cobalt Solid Regular Kurta,Global Desi,kurta,Cobalt,spring,casual,apple,cool,ethnic_casual,2300,3.5,2207
21,Sage Green Block Print Kurta,Anita Dongre,kurta,Sage Green,summer,casual,apple,cool,ethnic_casual,1600,4.7,4208
22,Ivory Embroidered A-Line Kurta,HRX,kurta,Ivory,spring,casual,apple,neutral,ethnic_casual,400,4.3,4052
23,White Floral Print Kurta,Max Fashion,kurta,White,summer,casual,apple,neutral,ethnic_casual,1400,3.6,4697
24,Black Mirror Work Kurta,Only,kurta,Black,summer,casual,apple,neutral,ethnic_casual,700,4.9,4413
25,Silver Embroidered A-Line Kurta,Rangmanch,kurta,Silver,summer,casual,apple,neutral,ethnic_casual,2300,4.8,1402
26,Olive Solid Regular Kurta,AND,kurta,Olive,all,casual,rectangle,warm,ethnic_casual,1200,4.5,3318
27,Burgundy Solid Regular Kurta,Roadster,kurta,Burgundy,spring,casual,rectangle,warm,ethnic_casual,2200,3.7,1890
28,Rust Printed Straight Kurta,Puma,kurta,Rust,spring,casual,rectangle,warm,ethnic_casual,1300,4.3,108
29,Rust Embroidered A-Line Kurta,W,kurta,Rust,summer,casual,rectangle,warm,ethnic_casual,500,4.7,630
30,Olive Floral Print Kurta,Rangmanch,kurta,Olive,summer,casual,rectangle,warm,ethnic_casual,2400,3.8,1133
31,Emerald Solid Regular Kurta,AND,kurta,Emerald,autumn,casual,rectangle,cool,ethnic_casual,800,3.6,3581
32,Lavender Solid Regular Kurta,Vero Moda,kurta,Lavender,autumn,casual,rectangle,cool,ethnic_casual,600,4.4,856
33,Royal Blue Mirror Work Kurta,Zara,kurta,Royal Blue,autumn,casual,rectangle,cool,ethnic_casual,800,3.8,1608
34,Sage Green Embroidered A-Line Kurta,Forever 21,kurta,Sage Green,autumn,casual,rectangle,cool,ethnic_casual,1200,3.9,2096
35,Ink Blue Solid Regular Kurta,HRX,kurta,Ink Blue,summer,casual,rectangle,cool,ethnic_casual,800,3.6,4478
36,Ink Blue Printed Straight Kurta,Janasya,kurta,Ink Blue,summer,casual,rectangle,cool,ethnic_casual,1400,3.7,4028
37,Cream Printed Straight Kurta,Global Desi,kurta,Cream,autumn,casual,rectangle,neutral,ethnic_casual,2000,3.5,3248
38,Off-White Floral Print Kurta,Forever 21,kurta,Off-White,autumn,casual,rectangle,neutral,ethnic_casual,2400,3.7,2480
39,Cream Block Print Kurta,Ethnic Motif,kurta,Cream,summer,casual,rectangle,neutral,ethnic_casual,600,4.5,518
40,White Solid Regular Kurta,Roadster,kurta,White,all,casual,rectangle,neutral,ethnic_casual,1000,3.6,4210
41,Black Printed Straight Kurta,Nike,kurta,Black,summer,casual,rectangle,neutral,ethnic_casual,700,4.4,1976
42,Dark Grey Block Print Kurta,Van Heusen Woman,kurta,Dark Grey,summer,casual,rectangle,neutral,ethnic_casual,600,4.4,3484
43,Burnt Orange Mirror Work Kurta,Indya,kurta,Burnt Orange,summer,casual,hourglass,warm,ethnic_casual,1700,3.8,3292
44,Mustard Solid Regular Kurta,Zara,kurta,Mustard,spring,casual,hourglass,warm,ethnic_casual,700,3.5,4662
45,Rust Block Print Kurta,AND,kurta,Rust,summer,casual,hourglass,warm,ethnic_casual,2500,3.9,2909
46,Rust Floral Print Kurta,Max Fashion,kurta,Rust,summer,casual,hourglass,warm,ethnic_casual,1000,4.1,4500
47,Warm Beige Block Print Kurta,Aurelia,kurta,Warm Beige,spring,casual,hourglass,warm,ethnic_casual,400,4.4,4593
48,Lilac Embroidered A-Line Kurta,Allen Solly Woman,kurta,Lilac,summer,casual,hourglass,cool,ethnic_casual,900,4.7,4582
49,Teal Floral Print Kurta,Nike,kurta,Teal,spring,casual,hourglass,cool,ethnic_casual,1300,4.5,1717
50,Lilac Block Print Kurta,Only,kurta,Lilac,spring,casual,hourglass,cool,ethnic_casual,1400,4.8,466
51,Cobalt Floral Print Kurta,Biba,kurta,Cobalt,autumn,casual,hourglass,cool,ethnic_casual,400,4.0,1121
52,Lilac Embroidered A-Line Kurta,Ethnic Motif,kurta,Lilac,spring,casual,hourglass,cool,ethnic_casual,2200,4.3,3553
53,Black Mirror Work Kurta,FabIndia,kurta,Black,summer,casual,hourglass,neutral,ethnic_casual,500,4.7,4821
54,Champagne Solid Regular Kurta,FabIndia,kurta,Champagne,summer,casual,hourglass,neutral,ethnic_casual,600,3.9,376
55,Light Grey Mirror Work Kurta,Van Heusen Woman,kurta,Light Grey,summer,casual,hourglass,neutral,ethnic_casual,800,4.0,4636
56,Gold Embroidered A-Line Kurta,Global Desi,kurta,Gold,summer,formal,pear,warm,ethnic_formal,1100,4.7,253
